busNo.,岐阜大学病院,柳戸橋,岐阜大学,種類,路線名,option,岐大口,繰舟橋,正木北,正木マーサ前,則武,北高前,忠節,忠節橋,西野町,本郷町,柳ヶ瀬西口,千手堂,徹明町,金宝町,名鉄岐阜,JR岐阜,正木東,さぎ山小学校北,青山中学校南,さぎ山東,自衛隊岐阜地本前,岐阜メモリアルセンター北,長良川国際会議場北口,長良橋北・鵜飼屋,長良橋南・川原町,岐阜公園・岐阜城,大仏南・妙照寺前,本町１丁目（岐阜市）,本町３丁目（岐阜市）,伊奈波通り,市役所・鶯谷高校口,今沢町,商工会議所前,柳ヶ瀬,加納桜道,加納附属小学校前,加納駅前,加納八幡町,茶所,上川手,領下,細畑,いりのと公園前,岐阜女子高前,岐南町三宅,id,baseDayType,operationRule,operatingStartMonth,operatingEndMonth,mayBeArticulatedBus
24,15:20,15:21,15:22,土曜日・日祝日,C,,,,,15:30,,15:34,15:35,,15:38,,,15:41,15:44,,15:46,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_024,WEEKEND_HOLIDAY,NONE,,,false
25,15:45,15:46,15:47,土曜日・日祝日,C,,,,,15:55,,15:59,16:00,,16:03,,,16:06,16:09,,16:11,16:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_025,WEEKEND_HOLIDAY,NONE,,,false
26,16:10,16:11,16:12,土曜日・日祝日,C,,,,,16:20,,16:25,16:26,,16:29,,,16:32,16:35,,16:37,16:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_026,WEEKEND_HOLIDAY,NONE,,,false
27,16:30,16:31,16:32,土曜日・日祝日,C,,,,,16:40,,16:45,16:46,,16:49,,,16:52,16:55,,16:57,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_027,WEEKEND_HOLIDAY,NONE,,,false
28,16:50,16:51,16:52,土曜日・日祝日,C,,,,,17:00,,17:05,17:06,,17:09,,,17:12,17:15,,17:17,17:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_028,WEEKEND_HOLIDAY,NONE,,,false
29,17:10,17:11,17:12,土曜日・日祝日,C,,,,,17:20,,17:25,17:26,,17:29,,,17:32,17:35,,17:37,17:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_029,WEEKEND_HOLIDAY,NONE,,,false
30,17:30,17:31,17:32,土曜日・日祝日,C,,,,,17:40,,17:45,17:46,,17:49,,,17:52,17:55,,17:57,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_030,WEEKEND_HOLIDAY,NONE,,,false
31,17:50,17:51,17:52,土曜日・日祝日,C,,,,,18:00,,18:05,18:06,,18:09,,,18:12,18:15,,18:17,18:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_031,WEEKEND_HOLIDAY,NONE,,,false
32,18:15,18:16,18:17,土曜日・日祝日,C,,,,,18:25,,18:29,18:30,,18:33,,,18:36,18:39,,18:41,18:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_032,WEEKEND_HOLIDAY,NONE,,,false
33,18:40,18:41,18:42,土曜日・日祝日,C,,,,,18:50,,18:53,18:54,,18:57,,,19:00,19:02,,19:04,19:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_033,WEEKEND_HOLIDAY,NONE,,,false
